,bp,position,foot,a/w,d/w
3657,CB,CB RB,Right,Medium,Medium
3658,CB,CB RB,Right,Medium,High
3659,CB,CB RB,Right,Medium,High
3660,CB,CB RB,Right,Low,Low
3661,CB,CB RB,Right,Medium,High
3662,CB,CB RB,Right,Medium,Medium
3663,CB,CB RB,Right,Low,High
3664,CB,CB RB,Right,Medium,Low
3665,CB,CB RB,Right,Medium,Medium
3666,CB,CB RB,Right,Low,Medium
3667,CB,CB RB,Right,Low,High
3668,CB,CB RB,Right,High,High
3669,CB,CB RB,Right,Low,High
3670,CB,CB RB,Left,Medium,Medium
3671,CB,CB RB,Right,Medium,Medium
3672,CB,CB RB,Right,Medium,Medium
3673,CB,CB RB,Right,Medium,High
3674,CB,CB RB,Right,Medium,Medium
3675,CB,CB RB,Right,Medium,Medium
3676,CB,CB RB,Right,Medium,Medium
3677,CB,CB RB,Right,Medium,High
3678,CB,CB RB,Right,Medium,Medium
3679,CB,CB RB,Right,Medium,High
3680,CB,CB RB,Right,Medium,Medium
3681,CB,CB RB,Right,Medium,High
3682,CB,CB RB,Right,Medium,Medium
3683,CB,CB RB,Right,High,Medium
3684,CB,CB RB,Right,Medium,Medium
3685,CB,CB RB,Right,Medium,Medium
3686,CB,CB RB,Right,High,Medium
3687,CB,CB RB,Right,Medium,Medium
3688,CB,CB RB,Right,Medium,Medium
3689,CB,CB RB,Right,Medium,High
3690,CB,CB RB,Right,Medium,Medium
3691,CB,CB RB,Right,Medium,Medium
3692,CB,CB RB,Right,Low,High
3693,CB,CB RB,Right,Medium,High
3694,CB,CB RB,Right,High,Medium
3695,CB,CB RB,Right,Medium,Medium
3696,CB,CB RB,Right,High,Medium
3697,CB,CB RB,Right,Low,High
3698,RB,CB RB,Right,Low,High
3699,CB,CB RB,Right,Low,High
3700,CB,CB RB,Right,Medium,High
3701,CB,CB RB,Right,Medium,Medium
3702,CB,CB RB,Right,Medium,Medium
3703,CB,CB RB,Right,Medium,Medium
3704,CB,CB RB,Right,Medium,Medium
3705,CB,CB RB,Right,Medium,High
3706,CB,CB RB,Right,Medium,Medium
3707,CB,CB RB,Right,Medium,Medium
3708,CB,CB RB,Right,Medium,High
3709,CB,CB RB,Right,Medium,Medium
3710,CB,CB RB,Right,Medium,High
3711,CB,CB RB,Right,Medium,Medium
3712,CB,CB RB,Right,Low,High
3713,CB,CB RB,Right,Medium,Medium
3714,CB,CB RB,Right,Medium,Medium
3715,CB,CB RB,Right,Medium,High
3716,CB,CB RB,Right,Medium,High
3717,CB,CB RB,Right,Medium,High
3718,CB,CB RB,Right,Medium,Medium
3719,CB,CB RB,Right,Medium,Medium
3720,CB,CB RB,Right,High,Medium
3721,CB,CB RB,Right,Medium,Medium
3722,CB,CB RB,Right,Medium,High
3723,CB,CB RB,Right,Medium,Medium
3724,CB,CB RB,Right,High,Medium
3725,CB,CB RB,Right,Medium,Medium
3726,CB,CB RB,Right,Medium,Medium
3727,CB,CB RB,Right,Medium,Medium
3728,CB,CB RB,Right,High,High
3729,CB,CB RB,Right,Medium,Medium
3730,CB,CB RB,Right,Low,High
3731,CB,CB RB,Right,Medium,Medium
3732,CB,CB RB,Right,Medium,High
3733,CB,CB RB,Right,Medium,High
3734,CB,CB RB,Right,Medium,High
3735,CB,CB RB,Right,Medium,High
3736,CB,CB RB,Right,Medium,High
3737,CB,CB RB,Right,Medium,High
3738,CB,CB RB,Right,Medium,High
3739,CB,CB RB,Right,Medium,Medium
3740,CB,CB RB,Right,High,Medium
3741,CB,CB RB,Right,Low,High
3742,CB,CB RB,Left,Medium,Medium
3743,CB,CB RB,Right,Medium,High
3744,CB,CB RB,Right,Medium,Medium
3745,CB,CB RB,Right,Medium,High
3746,CB,CB RB,Right,Medium,High
3747,CB,CB RB,Right,Medium,Medium
3748,CB,CB RB,Right,Medium,High
3749,CB,CB RB,Right,Medium,Medium
3750,CB,CB RB,Right,Medium,Medium
3751,CB,CB RB,Right,Medium,Medium
3752,CB,CB RB,Right,Medium,High
3753,CB,CB RB,Right,High,Medium
3754,CB,CB RB,Right,Medium,High
3755,CB,CB RB,Right,Medium,Medium
3756,CB,CB RB,Right,Medium,Medium
3757,CB,CB RB,Right,Medium,Medium
3758,CB,CB RB,Right,Medium,Medium
3759,CB,CB RB,Right,Low,Medium
3760,CB,CB RB CDM,Right,Medium,High
3761,CB,CB RB CDM,Right,Medium,Medium
3762,CB,CB RB CDM,Right,Medium,High
3763,CB,CB RB CDM,Right,Medium,Medium
3764,CB,CB RB CDM,Right,Medium,High
3765,CB,CB RB CDM,Right,Medium,Medium
3766,CB,CB RB CDM,Right,Medium,High
3767,CB,CB RB CDM,Right,Medium,Medium
3768,CB,CB RB CDM,Right,Low,Medium
3769,CB,CB RB CDM,Right,High,Medium
3770,CB,CB RB CDM,Right,High,Medium
3771,CB,CB RB CDM,Right,Medium,Medium
3772,CB,CB RB CDM,Right,Medium,Medium
3773,CB,CB RB CDM,Right,Medium,High
3774,CDM,CB RB CM,Right,High,Medium
3775,CB,CB RB CM,Right,Medium,Medium
3776,CB,CB RB LB,Right,Medium,Medium
3777,CB,CB RB LB,Right,Medium,Medium
3778,CB,CB RB LB,Right,Low,High
3779,CB,CB RB LB,Right,Medium,Medium
3780,CB,CB RB LB,Right,Medium,Medium
3781,CB,CB RB LB,Right,Medium,Medium
3782,CB,CB RB LB,Right,Medium,High
3783,RWB,CB RB LB,Right,Low,Medium
3784,CDM,CB RB LB,Right,Medium,Medium
3785,CB,CB RB LB,Right,Medium,Medium
3786,CB,CB RB LB,Left,Medium,Medium
3787,CB,CB RB LB,Right,Medium,Medium
3788,CB,CB RB LB,Right,Medium,Medium
3789,CB,CB RB LB,Right,Medium,Medium
3790,CB,CB RB LB,Right,Medium,High
3791,CB,CB RB LB,Right,Medium,Medium
3792,CB,CB RB LB,Right,Medium,High
3793,CB,CB RB LB,Right,Medium,Medium
3794,CB,CB RB RM,Right,High,High
3795,CB,CB RB RM,Right,High,High
3796,CB,CB RB RWB,Right,Low,Medium
3797,RWB,CB RB RWB,Right,Medium,Medium
3798,CB,CB RB RWB,Right,Medium,Medium
3799,CB,CB RB ST,Right,Medium,High
3800,CB,CB RM RB,Right,Medium,High
3801,CB,CB RWB,Right,High,Medium
3802,CB,CB RWB,Right,Medium,High
3803,CB,CB RWB,Right,High,High
3804,CB,CB RWB,Right,Medium,Medium
3805,CB,CB RWB,Right,Medium,High
3806,CB,CB RWB,Right,Low,Medium
3807,CB,CB RWB,Right,Medium,Medium
3808,CB,CB RWB,Right,Medium,Medium
3809,CB,CB RWB,Right,Medium,High
3810,CB,CB RWB RB,Right,Medium,Medium
3811,CB,CB RWB RM,Right,Medium,High
3812,CB,CB ST,Right,High,Medium
3813,CB,CB ST CAM,Right,High,Medium
3814,CM,CDM,Right,Medium,Medium
3815,CDM,CDM,Right,Medium,Medium
3816,CDM,CDM,Right,Medium,High
3817,CB,CDM,Right,Medium,Medium
3818,CDM,CDM,Right,Medium,High
3819,CB,CDM,Right,Medium,Medium
3820,CM,CDM,Right,Medium,Medium
3821,CDM,CDM,Right,High,High
3822,CDM,CDM,Right,Medium,Medium
3823,CB,CDM,Right,Low,Medium
3824,CAM,CDM,Right,Medium,Medium
3825,CM,CDM,Right,Medium,Medium
3826,CDM,CDM,Right,Medium,Medium
3827,CDM,CDM,Right,Medium,High
3828,CDM,CDM,Left,Medium,Medium
3829,CDM,CDM,Right,Medium,High
3830,CDM,CDM,Right,Medium,Medium
3831,CB,CDM,Right,Medium,Medium
3832,CB,CDM,Right,Medium,High
3833,CDM,CDM,Right,Medium,Medium
3834,CDM,CDM,Right,Low,Medium
3835,CDM,CDM,Right,Low,Medium
3836,CDM,CDM,Right,Medium,Medium
3837,CDM,CDM,Right,Medium,Medium
3838,CDM,CDM,Right,Low,High
3839,CDM,CDM,Right,Medium,Medium
3840,CDM,CDM,Left,High,High
3841,CDM,CDM,Right,Medium,High
3842,CB,CDM,Right,Medium,Medium
3843,CDM,CDM,Right,Medium,High
3844,CB,CDM,Right,Medium,Medium
3845,CB,CDM,Right,Medium,High
3846,CB,CDM,Right,Medium,High
3847,CDM,CDM,Left,Medium,High
3848,CB,CDM,Right,Medium,Medium
3849,CDM,CDM,Right,Medium,Medium
3850,CDM,CDM,Right,Medium,High
3851,CDM,CDM,Right,Low,High
3852,CDM,CDM,Right,Low,Medium
3853,CB,CDM,Right,Medium,High
3854,CDM,CDM,Right,Medium,Medium
3855,CDM,CDM,Right,Medium,High
3856,CDM,CDM,Right,Medium,High
3857,CDM,CDM,Right,Medium,High
3858,CDM,CDM,Right,Medium,Medium
3859,CDM,CDM,Right,Medium,High
3860,CDM,CDM,Right,Medium,High
3861,CDM,CDM,Right,Medium,High
3862,CB,CDM,Right,Medium,High
3863,CDM,CDM,Right,Medium,Medium
3864,CDM,CDM,Left,Medium,Medium
3865,CDM,CDM,Right,Medium,High
3866,CDM,CDM,Right,Medium,Medium
3867,CDM,CDM,Right,Medium,Medium
3868,CDM,CDM,Left,Medium,Medium
3869,CDM,CDM,Right,Medium,High
3870,CDM,CDM,Right,Medium,High
3871,CDM,CDM,Right,Medium,Medium
3872,CB,CDM,Right,Medium,High
3873,CDM,CDM,Right,Medium,Medium
3874,CB,CDM,Right,Medium,Medium
3875,CDM,CDM,Right,Medium,Medium
3876,CDM,CDM,Right,Medium,High
3877,CDM,CDM,Right,Medium,Medium
3878,CB,CDM,Right,Medium,High
3879,CDM,CDM,Right,Medium,High
3880,CDM,CDM,Right,Medium,Medium
3881,CB,CDM,Right,Medium,High
3882,CDM,CDM,Right,Medium,Medium
3883,CB,CDM,Right,Medium,High
3884,RB,CDM,Right,Low,Medium
3885,CDM,CDM,Right,Medium,Medium
3886,CDM,CDM,Right,Medium,High
3887,CM,CDM,Left,Medium,Medium
3888,CDM,CDM,Right,Medium,Medium
3889,CDM,CDM,Right,Medium,High
3890,CDM,CDM,Right,Medium,High
3891,CDM,CDM,Right,Medium,Medium
3892,CB,CDM,Right,Medium,High
3893,CDM,CDM,Right,Medium,Medium
3894,CB,CDM,Right,Medium,High
3895,CDM,CDM,Left,High,Medium
3896,CAM,CDM,Left,Medium,Medium
3897,CB,CDM,Right,Medium,Medium
3898,CDM,CDM,Right,Medium,Medium
3899,CDM,CDM,Right,Low,Medium
3900,CM,CDM,Right,Medium,Medium
3901,CB,CDM,Left,Medium,Medium
3902,CDM,CDM,Right,Medium,Medium
3903,CB,CDM,Right,Medium,Medium
3904,CDM,CDM,Right,High,High
3905,CDM,CDM,Right,High,High
3906,CDM,CDM,Left,Medium,High
3907,CDM,CDM,Right,Medium,Medium
3908,CDM,CDM,Right,Medium,Medium
3909,CDM,CDM,Right,Medium,Medium
3910,CB,CDM,Right,Medium,Medium
3911,CDM,CDM,Right,Medium,High
3912,CDM,CDM,Right,Medium,Medium
3913,CAM,CDM,Left,Medium,Medium
3914,CDM,CDM,Right,Medium,Low
3915,CDM,CDM,Right,Medium,Medium
3916,CB,CDM,Right,Medium,Medium
3917,CDM,CDM,Right,Medium,Medium
3918,CDM,CDM,Right,Medium,High
3919,CDM,CDM,Right,Medium,Medium
3920,CDM,CDM,Right,Medium,Medium
3921,CM,CDM,Right,Low,Medium
3922,CDM,CDM,Right,Medium,Medium
3923,CB,CDM,Right,Medium,Medium
3924,CAM,CDM,Right,Medium,Medium
3925,CDM,CDM,Right,Medium,High
3926,CDM,CDM,Right,Medium,Medium
3927,CDM,CDM,Right,Medium,High
3928,CDM,CDM,Right,Low,Medium
3929,CDM,CDM,Right,Medium,Medium
3930,CDM,CDM,Right,Medium,Medium
3931,CDM,CDM,Right,Medium,High
3932,CM,CDM,Right,Medium,Medium
3933,CB,CDM,Right,Medium,Medium
3934,CDM,CDM,Right,Medium,High
3935,CDM,CDM,Right,Medium,Medium
3936,CB,CDM,Right,Medium,Medium
3937,CDM,CDM,Right,Medium,Medium
3938,CDM,CDM,Right,Medium,Low
3939,CM,CDM,Right,Medium,Medium
3940,CB,CDM,Right,Medium,Medium
3941,CB,CDM,Right,Medium,Medium
3942,CM,CDM,Right,Medium,Medium
3943,CDM,CDM,Right,Medium,Medium
3944,CDM,CDM,Left,Medium,High
3945,CAM,CDM,Left,Medium,High
3946,CAM,CDM,Right,High,Medium
3947,CDM,CDM,Right,Medium,High
3948,CDM,CDM,Right,Medium,Low
3949,LB,CDM,Left,Medium,Medium
3950,CDM,CDM,Right,Medium,Medium
3951,CDM,CDM,Right,Medium,Medium
3952,CDM,CDM,Right,Medium,High
3953,CM,CDM,Right,Medium,Medium
3954,CDM,CDM,Right,Low,High
3955,CAM,CDM,Right,Medium,Medium
3956,RM,CDM,Right,Medium,Medium
3957,CB,CDM,Right,Medium,High
3958,CDM,CDM,Right,Low,Medium
3959,CB,CDM,Right,Low,Medium
3960,CDM,CDM,Right,Medium,High
3961,CDM,CDM,Right,Medium,High
3962,CDM,CDM,Right,Medium,High
3963,CDM,CDM,Right,Medium,Medium
3964,CDM,CDM,Right,Medium,High
3965,RWB,CDM,Right,Medium,High
3966,CB,CDM,Right,Low,High
3967,CDM,CDM,Right,Medium,High
3968,CDM,CDM,Right,Low,High
3969,CM,CDM,Right,Medium,Medium
3970,CDM,CDM,Right,Medium,High
3971,CDM,CDM,Right,Low,Medium
3972,CDM,CDM,Right,Low,Medium
3973,CDM,CDM,Left,Medium,Medium
3974,CDM,CDM,Right,Medium,High
3975,CDM,CDM,Right,Medium,High
3976,RWB,CDM,Right,Medium,High
3977,CDM,CDM,Left,Medium,High
3978,CDM,CDM,Right,Medium,High
3979,CDM,CDM,Right,Medium,High
3980,CDM,CDM,Right,Medium,Medium
3981,CDM,CDM,Right,Medium,High
3982,CB,CDM,Right,Medium,Medium
3983,CDM,CDM,Right,Medium,Medium
3984,CB,CDM,Right,Medium,Medium
3985,CDM,CDM,Right,Medium,Medium
3986,CDM,CDM,Right,Medium,Medium
3987,CB,CDM,Right,Medium,High
3988,CB,CDM,Right,Medium,Medium
3989,CB,CDM,Right,Medium,Medium
3990,CDM,CDM,Left,Medium,Medium
3991,CB,CDM,Right,Medium,Medium
3992,CDM,CDM,Right,Medium,High
3993,CDM,CDM,Right,Medium,Medium
3994,CDM,CDM,Right,Medium,Medium
3995,CDM,CDM,Right,Medium,Medium
3996,CDM,CDM,Right,Medium,High
3997,CDM,CDM,Right,Low,High
3998,CB,CDM,Right,Low,High
3999,CDM,CDM,Right,Medium,Medium
4000,CDM,CDM,Right,Medium,Medium
4001,CDM,CDM,Right,Medium,High
4002,CAM,CDM,Right,Medium,Medium
4003,CDM,CDM,Right,Low,Medium
4004,CM,CDM,Right,High,High
4005,CDM,CDM,Right,High,High
4006,CB,CDM,Right,Medium,Medium
4007,CB,CDM,Right,Medium,Medium
4008,CDM,CDM,Left,Medium,Medium
4009,CDM,CDM,Right,Medium,Medium
4010,CB,CDM,Right,Medium,Medium
4011,CDM,CDM,Right,Medium,Medium
4012,CDM,CDM,Right,Medium,High
4013,CDM,CDM,Left,Medium,High
4014,CM,CDM,Right,Medium,Medium
4015,CDM,CDM,Right,Low,Medium
4016,CDM,CDM,Right,Medium,Medium
4017,CB,CDM,Right,Medium,Medium
4018,CB,CDM,Right,Medium,Medium
4019,CB,CDM,Right,Medium,Medium
4020,CDM,CDM,Right,Medium,High
4021,CDM,CDM,Right,Medium,Medium
4022,CDM,CDM,Right,Medium,Medium
4023,CDM,CDM,Left,Medium,Medium
4024,CDM,CDM,Left,Medium,Medium
4025,CDM,CDM,Right,Medium,Medium
4026,CDM,CDM,Right,Medium,High
4027,CB,CDM,Right,Low,Medium
4028,CDM,CDM,Right,Medium,High
4029,CDM,CDM,Right,Medium,High
4030,CDM,CDM,Right,Medium,High
4031,CDM,CDM,Right,Medium,High
4032,CB,CDM,Right,Low,Medium
4033,CDM,CDM,Right,Medium,Medium
4034,CDM,CDM,Right,High,High
4035,CM,CDM,Right,Medium,Medium
4036,CM,CDM,Right,Medium,Medium
4037,CB,CDM,Right,Medium,Medium
4038,CDM,CDM,Left,Medium,Medium
4039,CDM,CDM,Right,Medium,Medium
4040,CB,CDM,Right,Medium,Medium
4041,CB,CDM,Right,Medium,Medium
4042,CDM,CDM,Right,Medium,High
4043,CDM,CDM,Right,Medium,Medium
4044,CM,CDM,Right,Low,Medium
4045,CDM,CDM,Right,Medium,Medium
4046,CDM,CDM,Right,High,Medium
4047,CDM,CDM,Right,Medium,Medium
4048,CB,CDM,Right,Medium,High
4049,CB,CDM,Right,Medium,High
4050,CDM,CDM,Left,Medium,Medium
4051,CB,CDM,Right,Medium,High
4052,CDM,CDM,Right,Medium,Medium
4053,CDM,CDM,Right,Low,Medium
4054,CDM,CDM,Right,Low,Medium
4055,CDM,CDM,Left,Medium,Medium
4056,CDM,CDM,Right,High,High
4057,CDM,CDM,Left,Medium,High
4058,RB,CDM,Right,Medium,Medium
4059,CM,CDM,Right,High,Medium
4060,LWB,CDM CAM,Left,High,High
4061,CM,CDM CAM,Right,Medium,Medium
4062,CM,CDM CAM,Right,Medium,Medium
4063,CDM,CDM CAM,Right,High,Medium
4064,CDM,CDM CAM,Right,Low,Medium
4065,CAM,CDM CAM,Right,Medium,Medium
4066,CDM,CDM CAM,Right,High,High
4067,ST,CDM CAM,Right,High,High
4068,CAM,CDM CAM,Left,Medium,Low
4069,CDM,CDM CAM CM,Right,High,Medium
4070,CDM,CDM CAM CM,Right,Medium,Medium
4071,CM,CDM CAM CM,Right,High,High
4072,CM,CDM CAM CM,Right,Medium,High
4073,CDM,CDM CAM CM,Right,Medium,High
4074,CAM,CDM CAM CM,Right,Medium,Medium
4075,CDM,CDM CAM CM,Right,Medium,Medium
4076,ST,CDM CAM CM,Right,Medium,High
4077,CM,CDM CAM LM,Left,Medium,Medium
4078,CB,CDM CB,Right,Medium,High
4079,CDM,CDM CB,Right,Medium,High
4080,CB,CDM CB,Right,Low,Medium
4081,CB,CDM CB,Left,Medium,Medium
4082,CB,CDM CB,Right,Medium,Medium
4083,CB,CDM CB,Right,Medium,High
4084,CB,CDM CB,Right,Medium,High
4085,CDM,CDM CB,Right,Medium,High
4086,CB,CDM CB,Right,Medium,High
4087,CDM,CDM CB,Right,Medium,High
4088,CDM,CDM CB,Right,Low,Medium
4089,CDM,CDM CB,Left,Medium,High
4090,CDM,CDM CB,Right,Low,Medium
4091,CB,CDM CB,Right,Medium,Low
4092,CB,CDM CB,Left,Medium,High
4093,CDM,CDM CB,Right,Medium,High
4094,CB,CDM CB,Left,Medium,Medium
4095,CB,CDM CB,Right,Medium,Medium
4096,CAM,CDM CB,Right,Medium,Medium
4097,CB,CDM CB,Right,Low,Medium
4098,CDM,CDM CB,Left,Low,High
4099,CB,CDM CB,Right,Medium,Medium
4100,CDM,CDM CB,Right,Medium,High
4101,CDM,CDM CB,Right,Medium,Medium
4102,CB,CDM CB,Right,Low,High
4103,CDM,CDM CB,Right,Medium,High
4104,CDM,CDM CB,Right,Medium,High
4105,CB,CDM CB,Right,Medium,Medium
4106,CB,CDM CB,Right,Medium,High
4107,CDM,CDM CB,Right,Medium,High
4108,CB,CDM CB,Right,Low,Medium
4109,CDM,CDM CB,Right,Medium,Medium
4110,CDM,CDM CB,Right,Medium,Medium
4111,CDM,CDM CB,Right,Medium,Medium
4112,CB,CDM CB,Right,Medium,High
4113,CB,CDM CB,Right,Medium,Medium
4114,CB,CDM CB,Right,Medium,High
4115,CB,CDM CB,Right,Medium,Medium
4116,CDM,CDM CB,Right,Medium,High
4117,CB,CDM CB,Right,Medium,High
4118,CDM,CDM CB,Right,Medium,Medium
4119,CDM,CDM CB,Right,Medium,High
4120,CB,CDM CB,Right,Medium,High
4121,CDM,CDM CB,Right,Medium,Medium
4122,CDM,CDM CB,Right,Medium,High
4123,CM,CDM CB,Right,Medium,Medium
4124,CDM,CDM CB,Right,Medium,Medium
4125,CDM,CDM CB,Right,Medium,Medium
4126,CDM,CDM CB,Right,Low,Medium
4127,CDM,CDM CB,Right,Medium,Medium
4128,CB,CDM CB,Right,Medium,High
4129,CB,CDM CB,Right,Medium,Medium
4130,CB,CDM CB,Right,Medium,Medium
4131,CDM,CDM CB,Right,Medium,High
4132,CDM,CDM CB,Right,Medium,Medium
4133,CDM,CDM CB,Right,Medium,Medium
4134,CB,CDM CB,Right,Medium,Medium
4135,CB,CDM CB,Right,Medium,Medium
4136,CDM,CDM CB,Right,Medium,High
4137,CB,CDM CB,Right,Medium,High
4138,CDM,CDM CB,Right,Medium,High
4139,CB,CDM CB,Right,Medium,Medium
4140,CDM,CDM CB,Right,Medium,High
4141,CB,CDM CB,Right,Medium,High
4142,CM,CDM CB,Left,Medium,Medium
4143,CB,CDM CB,Right,Low,Medium
4144,CDM,CDM CB,Right,Medium,High
4145,CB,CDM CB,Right,Medium,High
4146,CDM,CDM CB,Right,Medium,Medium
4147,CB,CDM CB,Right,Low,Medium
4148,CDM,CDM CB,Right,Medium,Medium
4149,CDM,CDM CB,Right,Medium,High
4150,CDM,CDM CB,Left,Medium,Medium
4151,CB,CDM CB,Right,Medium,High
4152,CB,CDM CB,Left,Medium,Medium
4153,CB,CDM CB,Right,Medium,High
4154,CM,CDM CB,Right,Medium,Medium
4155,CDM,CDM CB,Right,Medium,High
4156,CB,CDM CB,Right,Medium,Medium
4157,CDM,CDM CB,Right,Medium,Medium
4158,CB,CDM CB,Right,Medium,High
4159,CB,CDM CB,Right,Low,High
4160,CDM,CDM CB,Right,High,High
4161,CB,CDM CB,Right,Medium,Medium
4162,CB,CDM CB,Left,Medium,Medium
4163,CDM,CDM CB,Right,Medium,Medium
4164,CDM,CDM CB,Right,Medium,Medium
4165,CDM,CDM CB,Right,Medium,Medium
4166,CDM,CDM CB,Right,Medium,Medium
4167,CDM,CDM CB,Right,High,High
4168,CDM,CDM CB,Right,Medium,High
4169,CDM,CDM CB,Right,Medium,High
4170,CM,CDM CB,Right,Medium,Medium
4171,CDM,CDM CB,Right,Medium,Medium
4172,CDM,CDM CB,Right,Medium,Medium
4173,CDM,CDM CB,Right,Low,High
4174,CB,CDM CB,Right,Medium,High
4175,CDM,CDM CB,Right,Medium,Medium
4176,CB,CDM CB,Right,Medium,Medium
4177,CDM,CDM CB CM,Right,Medium,High
4178,CDM,CDM CB CM,Right,Medium,Medium
4179,CDM,CDM CB CM,Right,Medium,High
4180,CDM,CDM CB CM,Right,Medium,Medium
4181,CDM,CDM CB CM,Right,Low,Medium
4182,CDM,CDM CB CM,Right,Medium,Medium
4183,CB,CDM CB CM,Right,Medium,High
4184,CB,CDM CB CM,Right,Medium,Medium
4185,CB,CDM CB CM,Left,Medium,Medium
4186,CDM,CDM CB CM,Left,Medium,High
4187,CDM,CDM CB CM,Right,High,Medium
4188,CDM,CDM CB CM,Right,Medium,Medium
4189,CDM,CDM CB CM,Right,Medium,Medium
4190,CDM,CDM CB CM,Right,Low,High
4191,CDM,CDM CB CM,Right,Medium,Medium
4192,CDM,CDM CB CM,Right,Medium,High
4193,CB,CDM CB CM,Right,Medium,High
4194,CDM,CDM CB CM,Right,Medium,High
4195,CB,CDM CB CM,Right,Medium,High
4196,CDM,CDM CB CM,Right,Medium,Medium
4197,CDM,CDM CB LB,Left,Medium,High
4198,CB,CDM CB RB,Right,Medium,Medium
4199,CDM,CDM CB RB,Right,Medium,High
4200,CDM,CDM CB RB,Right,Medium,High
4201,CB,CDM CB RB,Right,Medium,High
4202,CB,CDM CB RB,Right,Medium,Medium
4203,CB,CDM CB RB,Right,Medium,High
4204,CDM,CDM CB RM,Right,Low,Medium
4205,CDM,CDM CM,Right,Medium,High
4206,CB,CDM CM,Right,Medium,Medium
4207,CAM,CDM CM,Right,Medium,High
4208,RWB,CDM CM,Right,High,High
4209,CM,CDM CM,Right,Medium,Medium
4210,CDM,CDM CM,Right,Low,High
4211,CDM,CDM CM,Right,Medium,High
4212,CB,CDM CM,Right,Low,High
4213,CDM,CDM CM,Right,High,High
4214,CDM,CDM CM,Right,Medium,Medium
4215,CDM,CDM CM,Right,High,High
4216,CDM,CDM CM,Right,Medium,High
4217,CM,CDM CM,Right,High,High
4218,CDM,CDM CM,Right,Medium,High
4219,RB,CDM CM,Right,Medium,High
4220,CDM,CDM CM,Right,High,Medium
4221,RM,CDM CM,Right,Medium,Medium
4222,CDM,CDM CM,Right,Medium,High
4223,CDM,CDM CM,Right,High,High
4224,CDM,CDM CM,Right,Medium,Medium
4225,CDM,CDM CM,Right,High,High
4226,CDM,CDM CM,Right,Medium,High
4227,CDM,CDM CM,Right,Low,High
4228,CDM,CDM CM,Right,Medium,Medium
4229,CB,CDM CM,Right,Medium,High
4230,CDM,CDM CM,Right,Medium,High
4231,RB,CDM CM,Right,Medium,Medium
4232,CDM,CDM CM,Right,Medium,Medium
4233,CDM,CDM CM,Right,Medium,High
4234,CDM,CDM CM,Right,High,Medium
4235,CM,CDM CM,Right,High,Medium
4236,CDM,CDM CM,Right,Medium,High
4237,CDM,CDM CM,Left,Medium,Medium
4238,CDM,CDM CM,Left,Medium,Medium
4239,CDM,CDM CM,Right,Medium,Medium
4240,CDM,CDM CM,Right,High,Medium
4241,RB,CDM CM,Right,Medium,High
4242,CDM,CDM CM,Right,Medium,Medium
4243,CDM,CDM CM,Right,Medium,Medium
4244,CDM,CDM CM,Right,High,High
4245,CDM,CDM CM,Right,Low,High
4246,CDM,CDM CM,Right,Medium,Medium
4247,CDM,CDM CM,Right,Low,High
4248,CB,CDM CM,Left,Medium,Medium
4249,CAM,CDM CM,Right,Medium,Medium
4250,CDM,CDM CM,Right,Medium,Medium
4251,CM,CDM CM,Right,Medium,Medium
4252,CB,CDM CM,Right,Medium,High
4253,CDM,CDM CM,Right,Medium,High
4254,CDM,CDM CM,Right,High,Medium
4255,CDM,CDM CM,Right,Medium,Medium
4256,CDM,CDM CM,Right,Medium,Medium
4257,CM,CDM CM,Right,Medium,High
4258,CDM,CDM CM,Left,Medium,High
4259,CM,CDM CM,Left,Medium,Medium
4260,CDM,CDM CM,Right,Low,Medium
4261,CDM,CDM CM,Left,Medium,High
4262,CDM,CDM CM,Right,Medium,Medium
4263,CB,CDM CM,Right,Medium,High
4264,CDM,CDM CM,Right,Medium,Medium
4265,CDM,CDM CM,Left,Medium,High
4266,CB,CDM CM,Right,Medium,High
4267,CDM,CDM CM,Right,Low,Medium
4268,CDM,CDM CM,Right,High,Medium
4269,RM,CDM CM,Right,Medium,Medium
4270,CDM,CDM CM,Right,Medium,High
4271,CDM,CDM CM,Right,Medium,Medium
4272,CDM,CDM CM,Right,Medium,High
4273,CDM,CDM CM,Right,Medium,Medium
4274,CM,CDM CM,Right,Medium,Medium
4275,CB,CDM CM,Right,Medium,High
4276,CDM,CDM CM,Right,Medium,Medium
4277,CDM,CDM CM,Left,Low,Medium
4278,CDM,CDM CM,Right,Medium,High
4279,CDM,CDM CM,Right,Medium,Medium
4280,CDM,CDM CM,Right,Medium,High
4281,CDM,CDM CM,Left,Medium,Medium
4282,CB,CDM CM,Right,Medium,Medium
4283,CM,CDM CM,Right,Medium,Medium
4284,CDM,CDM CM,Right,Medium,High
4285,CDM,CDM CM,Left,Medium,Medium
4286,CDM,CDM CM,Left,Medium,Medium
4287,CDM,CDM CM,Left,Medium,High
4288,CDM,CDM CM,Right,High,Medium
4289,CDM,CDM CM,Right,Medium,Medium
4290,CDM,CDM CM,Left,Medium,High
4291,CDM,CDM CM,Right,Medium,High
4292,CDM,CDM CM,Right,Medium,Medium
4293,CDM,CDM CM,Right,Low,High
4294,CDM,CDM CM,Right,Medium,High
4295,CM,CDM CM,Left,Medium,Medium
4296,CDM,CDM CM,Right,Medium,Medium
4297,CDM,CDM CM,Right,Medium,Medium
4298,CDM,CDM CM,Right,Medium,Medium
4299,CDM,CDM CM,Right,High,High
