,bov,attacking,skill,agility,power,mentality,defending,goalkeeping,total_stats
3674,79,312,283,68.0,345,306,239,52,1902
3675,51,139,153,60.0,230,180,146,45,1179
3676,65,240,225,65.0,289,267,196,65,1620
3677,74,245,237,54.0,295,292,229,52,1658
3678,66,262,260,69.0,349,289,194,57,1789
3679,63,238,246,51.0,268,260,188,47,1529
3680,71,321,246,58.0,348,288,210,54,1780
3681,67,205,157,60.0,311,227,203,51,1444
3682,68,243,193,54.0,305,265,194,58,1569
3683,64,249,258,77.0,287,282,179,52,1665
3684,62,229,211,66.0,256,253,178,50,1506
3685,79,297,300,69.0,318,311,234,58,1870
3686,68,254,275,73.0,277,260,200,57,1657
3687,64,221,202,60.0,243,209,185,43,1420
3688,67,221,225,49.0,288,269,194,51,1513
3689,60,220,242,55.0,248,236,184,52,1470
3690,72,236,201,32.0,304,256,217,41,1507
3691,71,273,263,57.0,326,310,214,51,1735
3692,70,252,247,68.0,310,238,212,54,1652
3693,65,242,222,41.0,284,229,192,48,1500
3694,52,170,157,43.0,231,186,162,49,1232
3695,67,244,265,69.0,287,283,205,55,1665
3696,80,333,318,57.0,381,341,245,61,1983
3697,73,201,189,62.0,304,265,223,53,1540
3698,72,243,205,74.0,287,255,227,53,1633
3699,66,195,213,40.0,272,248,187,47,1419
3700,62,245,253,54.0,290,257,181,50,1548
3701,64,200,208,33.0,274,236,185,54,1395
3702,72,300,271,68.0,348,282,206,54,1793
3703,61,221,180,49.0,254,209,185,49,1357
3704,69,237,233,65.0,308,274,206,59,1655
3705,76,248,248,65.0,314,291,225,57,1717
3706,59,248,257,64.0,296,237,159,54,1550
3707,69,287,245,60.0,326,289,201,64,1699
3708,63,232,211,53.0,243,242,181,41,1433
3709,65,258,269,66.0,293,268,183,58,1643
3710,68,321,325,74.0,381,336,190,42,1946
3711,66,205,221,61.0,305,243,186,52,1515
3712,71,233,240,63.0,294,257,206,46,1593
3713,61,195,222,64.0,250,226,184,53,1428
3714,58,166,145,58.0,267,194,172,41,1309
3715,74,260,277,67.0,297,293,219,55,1755
3716,65,237,213,58.0,298,249,192,50,1523
3717,64,181,148,44.0,297,201,201,48,1268
3718,72,232,233,58.0,285,237,208,53,1546
3719,59,181,185,54.0,260,215,170,50,1362
3720,74,313,314,63.0,357,322,219,41,1889
3721,59,239,222,67.0,247,215,174,53,1452
3722,63,211,192,64.0,270,263,181,45,1476
3723,68,248,241,61.0,300,280,202,59,1650
3724,70,247,262,67.0,325,292,209,52,1703
3725,69,257,225,50.0,281,243,205,54,1561
3726,55,173,161,54.0,240,204,156,57,1273
3727,61,226,228,45.0,308,260,171,52,1504
3728,73,307,304,50.0,396,291,215,54,1849
3729,66,218,237,54.0,277,234,193,40,1497
3730,58,204,156,42.0,248,196,174,47,1281
3731,65,214,240,46.0,296,272,187,50,1540
3732,67,250,257,72.0,286,260,196,48,1656
3733,59,180,152,59.0,254,221,172,57,1300
3734,66,277,228,74.0,348,296,191,51,1679
3735,67,262,249,61.0,308,265,204,47,1622
3736,74,271,277,42.0,338,281,216,47,1721
3737,68,244,208,72.0,344,243,193,49,1621
3738,62,220,229,60.0,292,249,180,62,1544
3739,67,230,188,53.0,323,229,190,44,1509
3740,74,266,301,72.0,348,262,219,45,1805
3741,71,276,267,67.0,338,325,214,58,1807
3742,60,204,173,45.0,248,174,181,53,1303
3743,59,191,191,47.0,245,201,176,43,1333
3744,68,228,218,69.0,276,235,201,51,1555
3745,73,250,255,41.0,297,254,218,46,1600
3746,66,246,265,53.0,304,262,184,49,1616
3747,71,258,279,67.0,326,279,207,60,1759
3748,73,269,312,63.0,364,293,228,65,1850
3749,74,242,269,56.0,271,269,229,59,1652
3750,67,264,276,62.0,303,274,197,56,1683
3751,71,223,226,43.0,276,237,215,56,1510
3752,69,282,293,62.0,360,294,203,61,1806
3753,77,282,248,67.0,339,280,227,53,1775
3754,69,268,252,58.0,320,297,201,58,1711
3755,68,201,188,31.0,265,224,198,57,1377
3756,78,341,313,66.0,361,333,235,56,1987
3757,59,227,225,49.0,275,253,181,35,1462
3758,66,249,202,63.0,264,226,188,44,1455
3759,75,289,284,53.0,300,283,231,41,1706
3760,58,217,227,60.0,257,246,171,55,1478
3761,68,226,233,64.0,291,262,197,43,1574
3762,72,220,222,75.0,289,237,209,54,1589
3763,73,283,342,69.0,381,309,207,41,1912
3764,53,139,143,48.0,245,197,157,47,1193
3765,55,182,149,61.0,253,197,165,55,1315
3766,59,210,227,44.0,267,211,164,53,1371
3767,70,269,268,67.0,328,290,203,49,1752
3768,61,189,179,68.0,252,187,190,49,1352
3769,76,314,287,77.0,350,330,219,59,1941
3770,72,289,248,62.0,317,277,209,54,1722
3771,72,276,281,66.0,328,307,210,62,1797
3772,63,219,234,49.0,264,232,175,35,1437
3773,63,192,205,48.0,267,196,183,48,1346
3774,72,329,340,70.0,374,347,211,60,2001
3775,64,268,243,70.0,322,271,184,49,1633
3776,74,294,277,38.0,346,315,231,53,1793
3777,61,191,170,36.0,267,224,174,43,1319
3778,73,266,277,63.0,312,310,224,45,1770
3779,73,262,266,64.0,285,299,228,48,1714
3780,75,294,277,38.0,348,315,228,53,1782
3781,71,239,218,44.0,316,269,213,52,1578
3782,64,274,281,38.0,277,288,191,48,1581
3783,66,245,280,67.0,293,264,181,62,1656
3784,70,278,337,72.0,358,307,197,55,1887
3785,66,233,221,46.0,272,261,199,41,1461
3786,75,272,231,66.0,338,279,228,45,1745
3787,68,282,259,65.0,273,229,199,55,1633
3788,67,250,248,71.0,275,209,200,42,1554
3789,73,233,231,61.0,285,251,213,53,1604
3790,70,247,278,71.0,330,317,210,60,1785
3791,77,304,261,67.0,324,291,223,60,1801
3792,76,256,234,67.0,308,256,224,47,1653
3793,65,218,217,36.0,263,245,208,55,1477
3794,80,312,364,87.0,402,334,232,47,2087
3795,75,286,294,67.0,318,313,227,57,1835
3796,72,316,293,72.0,365,319,217,46,1922
3797,64,278,302,69.0,324,257,185,44,1722
3798,82,324,274,63.0,328,311,250,44,1902
3799,67,298,279,73.0,308,279,205,58,1757
3800,67,246,253,51.0,292,272,183,62,1618
3801,61,209,226,69.0,290,228,175,51,1509
3802,72,235,231,59.0,297,260,220,55,1593
3803,65,230,256,82.0,291,230,191,38,1587
3804,64,246,264,63.0,338,276,189,50,1673
3805,65,223,233,70.0,322,217,188,57,1554
3806,57,231,217,33.0,271,228,172,59,1364
3807,66,256,256,57.0,304,257,182,60,1632
3808,71,277,298,61.0,344,310,211,56,1815
3809,73,257,254,39.0,269,265,222,39,1560
3810,68,261,281,73.0,325,287,202,49,1756
3811,66,274,248,74.0,326,279,189,44,1715
3812,65,290,288,64.0,352,315,184,46,1811
3813,68,252,202,38.0,316,299,185,54,1521
3814,67,301,328,70.0,334,300,184,45,1834
3815,69,249,276,68.0,338,303,185,56,1739
3816,74,285,330,77.0,324,340,212,54,1907
3817,80,348,350,67.0,385,367,243,55,2099
3818,67,248,249,55.0,318,294,203,60,1682
3819,63,259,269,64.0,295,258,189,52,1635
3820,71,295,315,74.0,345,331,193,35,1873
3821,80,356,365,64.0,385,362,232,20,2062
3822,73,282,302,65.0,340,323,219,53,1839
3823,70,251,250,69.0,324,278,218,49,1688
3824,69,286,306,73.0,340,322,187,51,1834
3825,68,260,316,65.0,311,341,195,51,1814
3826,59,233,251,73.0,276,262,153,59,1579
3827,73,254,271,73.0,317,321,210,49,1765
3828,69,236,264,76.0,339,288,196,57,1724
3829,87,345,365,66.0,395,412,258,47,2171
3830,71,326,332,62.0,319,350,198,59,1894
3831,66,213,236,48.0,279,244,187,55,1516
3832,76,264,281,69.0,322,288,219,65,1768
3833,74,327,335,68.0,379,335,225,47,2008
3834,73,311,310,79.0,356,337,213,58,1945
3835,68,273,293,65.0,347,300,195,50,1767
3836,74,345,372,67.0,357,355,220,49,2038
3837,71,307,317,74.0,350,305,200,61,1897
3838,71,240,269,69.0,331,297,208,50,1755
3839,68,311,309,73.0,336,290,186,53,1833
3840,68,254,285,56.0,352,323,181,49,1765
3841,72,283,353,66.0,326,305,199,44,1833
3842,65,285,255,69.0,331,273,183,63,1722
3843,77,272,308,71.0,378,330,223,60,1930
3844,71,211,250,66.0,290,275,211,56,1626
3845,68,291,290,68.0,361,299,195,48,1809
3846,73,268,258,53.0,337,302,223,55,1738
3847,79,326,318,63.0,374,345,235,60,2007
3848,58,240,259,57.0,251,244,175,58,1514
3849,69,289,312,64.0,372,300,196,61,1831
3850,76,261,298,70.0,360,330,223,59,1886
3851,71,267,285,49.0,353,303,215,61,1753
3852,72,267,289,52.0,355,304,209,57,1746
3853,69,247,243,50.0,364,345,189,50,1714
3854,74,235,304,69.0,321,314,203,46,1762
3855,70,283,272,64.0,349,303,192,53,1777
3856,68,243,271,68.0,313,284,192,59,1693
3857,72,265,290,83.0,317,331,206,47,1825
3858,65,237,283,67.0,294,284,183,50,1633
3859,68,264,282,74.0,337,289,194,51,1763
3860,62,247,240,72.0,312,292,182,67,1674
3861,72,260,314,69.0,320,320,201,56,1789
3862,61,233,252,57.0,305,259,175,49,1566
3863,75,231,330,63.0,366,308,215,46,1843
3864,77,316,325,62.0,350,320,234,50,1920
3865,81,333,380,65.0,389,358,231,50,2070
3866,77,325,349,74.0,379,349,219,50,2029
3867,66,228,264,70.0,279,259,196,52,1617
3868,64,236,247,63.0,308,279,177,51,1618
3869,63,228,275,56.0,312,276,175,63,1631
3870,65,241,272,65.0,319,293,180,64,1676
3871,66,325,307,64.0,327,318,184,62,1821
3872,56,242,267,51.0,225,240,160,41,1421
3873,87,330,386,67.0,337,387,249,48,2021
3874,59,211,231,54.0,217,237,167,44,1356
3875,63,232,266,64.0,265,270,180,47,1580
3876,64,256,279,58.0,265,265,189,54,1618
3877,68,256,274,60.0,322,300,194,64,1722
3878,67,249,234,47.0,323,285,187,56,1617
3879,76,358,317,68.0,406,364,216,61,2045
3880,59,240,278,59.0,249,256,172,59,1567
3881,68,216,231,54.0,342,276,195,53,1599
3882,61,219,258,66.0,269,242,177,36,1506
3883,57,189,220,57.0,277,215,165,54,1409
3884,58,249,244,59.0,324,249,169,52,1593
3885,57,215,235,67.0,257,240,168,38,1464
3886,70,269,276,67.0,333,312,203,52,1767
3887,67,261,323,62.0,332,296,182,57,1750
3888,62,259,260,59.0,276,253,184,41,1568
3889,77,305,291,64.0,373,346,229,49,1905
3890,65,264,256,57.0,307,249,190,45,1589
3891,75,293,327,71.0,361,340,230,54,1957
3892,65,252,257,58.0,295,267,187,53,1614
3893,65,240,249,69.0,311,273,195,49,1621
3894,64,214,218,55.0,292,222,184,47,1461
3895,77,322,364,67.0,346,347,211,53,1985
3896,65,274,303,76.0,330,273,169,51,1745
3897,59,205,245,69.0,263,216,169,36,1441
3898,76,347,385,74.0,376,363,224,54,2112
3899,74,270,292,42.0,329,318,210,45,1731
3900,65,257,298,72.0,258,268,185,45,1634
3901,68,312,308,52.0,351,325,199,57,1848
3902,77,338,348,67.0,385,365,236,55,2076
3903,60,220,211,47.0,267,244,168,43,1416
3904,69,255,304,74.0,344,317,206,62,1838
3905,78,353,352,78.0,372,367,232,48,2119
3906,64,236,275,51.0,280,255,193,49,1578
3907,77,310,351,59.0,350,355,224,64,1924
3908,67,255,265,74.0,348,294,190,42,1743
3909,73,336,349,55.0,348,357,216,46,1915
3910,51,198,215,54.0,251,203,136,46,1325
3911,71,311,291,65.0,374,313,214,119,1941
3912,72,282,343,71.0,388,302,201,55,1908
3913,58,231,255,73.0,242,274,164,56,1560
3914,60,213,240,64.0,276,265,171,52,1543
3915,54,195,211,65.0,265,211,155,52,1381
3916,59,236,255,73.0,259,247,166,52,1544
3917,60,243,272,56.0,267,251,171,58,1551
3918,75,301,323,59.0,310,344,232,43,1863
3919,64,238,276,61.0,292,268,181,69,1630
3920,67,260,272,65.0,328,292,193,53,1710
3921,59,239,255,58.0,275,266,166,51,1576
3922,51,199,210,66.0,237,221,143,63,1376
3923,66,246,250,65.0,332,271,182,54,1657
3924,58,236,251,63.0,253,244,159,56,1527
3925,61,220,300,71.0,249,262,187,52,1607
3926,66,280,264,49.0,299,295,197,46,1686
3927,66,256,284,78.0,312,295,199,67,1771
3928,68,297,336,55.0,332,304,199,52,1814
3929,56,208,221,50.0,250,245,166,49,1431
3930,52,189,218,55.0,254,207,150,51,1353
3931,72,251,272,57.0,290,303,214,62,1702
3932,62,270,292,67.0,314,288,173,52,1717
3933,62,239,254,61.0,299,258,185,52,1601
3934,69,231,277,63.0,306,271,212,44,1667
3935,66,259,297,69.0,301,285,190,50,1720
3936,74,337,324,58.0,345,357,229,38,1936
3937,66,285,284,74.0,323,288,188,53,1777
3938,61,236,244,57.0,287,244,172,37,1498
3939,62,217,306,63.0,315,250,160,52,1588
3940,59,226,249,64.0,286,258,165,47,1546
3941,54,200,217,63.0,239,211,165,62,1386
3942,63,255,270,61.0,288,274,179,54,1635
3943,60,249,266,55.0,246,260,176,43,1551
3944,63,244,284,58.0,286,247,184,61,1586
3945,55,231,244,59.0,248,226,147,48,1447
3946,68,289,321,88.0,294,318,184,50,1845
3947,63,234,235,59.0,289,246,189,50,1555
3948,64,210,234,63.0,277,257,194,50,1530
3949,64,231,262,76.0,255,259,189,46,1605
3950,67,295,298,57.0,314,304,196,67,1761
3951,74,302,308,59.0,366,308,210,61,1885
3952,60,221,246,57.0,286,248,168,42,1480
3953,58,223,256,63.0,264,260,158,48,1524
3954,68,222,234,52.0,296,276,202,60,1589
3955,60,233,311,70.0,251,282,162,51,1612
3956,59,264,280,61.0,303,255,147,58,1620
3957,65,223,258,62.0,283,271,196,48,1597
3958,53,199,232,58.0,249,238,144,37,1383
3959,66,226,249,59.0,295,286,189,49,1618
3960,84,338,358,77.0,365,378,247,37,2082
3961,67,284,285,77.0,291,315,194,57,1792
3962,66,308,288,70.0,311,316,177,66,1786
3963,62,208,227,68.0,260,286,181,57,1520
3964,66,256,267,59.0,281,283,189,41,1630
3965,68,301,286,68.0,337,317,188,46,1810
3966,58,203,196,71.0,248,264,154,56,1448
3967,69,277,310,74.0,324,329,195,60,1840
3968,69,274,301,66.0,299,347,197,59,1805
3969,72,315,338,74.0,370,323,188,64,1946
3970,65,270,317,57.0,321,291,191,53,1721
3971,63,189,220,46.0,298,273,181,56,1502
3972,65,244,252,74.0,290,279,187,44,1648
3973,74,308,356,69.0,344,342,211,57,1917
3974,60,189,223,60.0,262,238,165,46,1416
3975,63,224,264,53.0,290,278,188,48,1597
3976,63,281,295,72.0,322,280,176,52,1738
3977,68,314,307,52.0,356,333,205,49,1869
3978,64,279,294,62.0,312,298,188,50,1733
3979,68,317,272,61.0,319,311,185,55,1800
3980,59,238,272,71.0,282,258,161,39,1585
3981,72,301,320,70.0,332,332,207,46,1854
3982,65,239,231,35.0,292,231,190,45,1488
3983,55,198,223,56.0,244,214,160,48,1375
3984,58,240,255,57.0,268,235,168,59,1524
3985,54,199,228,58.0,255,211,139,58,1387
3986,56,203,217,50.0,256,237,157,53,1424
3987,76,256,284,65.0,375,306,225,59,1838
3988,64,252,269,57.0,279,271,188,40,1573
3989,52,182,195,59.0,228,224,142,42,1289
3990,61,279,300,59.0,263,253,188,51,1632
3991,65,246,306,56.0,343,243,180,46,1672
3992,64,222,232,51.0,265,253,193,46,1492
3993,48,191,198,59.0,223,206,129,56,1301
3994,65,251,277,54.0,247,307,192,55,1625
3995,65,238,246,66.0,278,258,199,50,1575
3996,77,323,356,61.0,375,344,225,52,1971
3997,67,254,277,55.0,287,293,190,45,1637
3998,71,262,254,56.0,337,267,207,44,1657
3999,63,211,239,73.0,296,249,175,48,1547
4000,60,267,279,65.0,274,265,166,59,1605
4001,62,216,236,59.0,231,246,182,55,1470
4002,59,232,283,74.0,283,274,150,47,1596
4003,71,302,324,53.0,334,317,201,40,1796
4004,77,298,368,71.0,365,355,217,53,2036
4005,89,349,369,61.0,437,396,259,67,2220
4006,73,316,279,53.0,355,301,209,55,1818
4007,62,250,266,76.0,311,279,182,44,1671
4008,67,311,325,77.0,341,327,192,42,1866
4009,63,201,242,59.0,249,263,188,51,1470
4010,60,212,232,54.0,267,223,178,60,1452
4011,64,265,287,62.0,299,289,178,46,1683
4012,69,265,294,75.0,320,285,204,38,1757
4013,60,239,254,48.0,266,256,169,51,1523
4014,73,301,327,67.0,339,303,203,48,1839
4015,55,204,227,74.0,250,229,155,60,1452
4016,62,241,273,60.0,265,265,180,49,1565
4017,71,256,259,49.0,360,340,200,55,1702
4018,60,207,224,57.0,256,246,173,44,1450
4019,58,207,234,58.0,267,248,161,53,1469
4020,67,262,291,60.0,307,314,178,57,1720
4021,66,249,249,69.0,305,267,190,55,1621
4022,66,233,255,67.0,320,277,190,52,1666
4023,59,260,276,64.0,275,273,170,39,1598
4024,61,243,257,71.0,257,255,185,58,1594
4025,67,248,260,63.0,321,278,192,55,1687
4026,75,286,310,74.0,372,328,227,57,1915
4027,58,206,226,63.0,272,245,161,51,1466
4028,71,318,326,74.0,356,339,204,62,1938
4029,63,254,268,67.0,310,276,182,36,1654
4030,74,303,297,66.0,372,344,215,56,1916
4031,72,279,310,71.0,348,319,216,58,1856
4032,67,224,247,56.0,326,286,188,41,1608
4033,66,265,279,64.0,309,293,177,64,1678
4034,78,302,324,64.0,308,345,229,44,1852
4035,64,246,283,67.0,250,276,185,47,1628
4036,61,253,282,70.0,283,270,175,53,1653
4037,55,212,233,59.0,252,223,151,47,1407
4038,69,254,273,60.0,337,284,196,55,1719
4039,75,286,337,76.0,353,306,213,43,1900
4040,65,246,245,58.0,328,273,177,51,1623
4041,68,235,265,61.0,354,300,196,53,1723
4042,77,301,305,65.0,354,344,229,55,1903
4043,64,226,257,32.0,340,313,177,43,1569
4044,78,353,362,57.0,335,354,218,60,1970
4045,78,332,389,74.0,364,365,225,51,2073
4046,63,263,263,55.0,322,267,187,58,1668
4047,58,204,226,55.0,273,243,164,59,1463
4048,73,248,240,33.0,297,273,226,44,1530
4049,66,268,261,56.0,310,272,195,37,1627
4050,78,354,362,38.0,372,367,223,46,1944
4051,82,343,354,62.0,375,378,252,49,2083
4052,64,251,299,71.0,278,267,173,52,1653
4053,71,353,356,31.0,322,337,202,48,1834
4054,56,245,256,57.0,252,240,170,58,1521
4055,73,269,300,70.0,279,312,217,49,1780
4056,71,290,347,64.0,356,339,202,62,1916
4057,67,278,317,68.0,334,311,190,50,1816
4058,59,242,258,66.0,269,264,170,47,1576
4059,69,300,321,66.0,345,324,177,47,1860
4060,66,274,260,65.0,357,284,175,55,1726
4061,75,345,369,67.0,348,359,208,58,1999
4062,63,230,260,64.0,318,272,164,57,1621
4063,54,214,215,59.0,297,243,147,57,1459
4064,69,333,328,62.0,355,295,193,45,1861
4065,61,249,271,63.0,275,279,168,50,1591
4066,70,298,315,76.0,319,307,205,49,1844
4067,74,353,297,75.0,397,370,204,66,2061
4068,67,279,329,65.0,253,304,197,65,1717
4069,79,351,311,62.0,401,356,230,68,2058
4070,67,282,294,61.0,363,301,185,41,1768
4071,66,278,327,69.0,359,295,170,45,1804
4072,65,259,292,75.0,307,266,183,47,1704
4073,65,246,280,67.0,322,299,181,47,1696
4074,72,309,363,79.0,335,343,195,53,1943
4075,59,226,243,69.0,299,223,165,44,1532
4076,72,331,321,62.0,379,341,200,51,1934
4077,66,264,299,68.0,332,290,175,47,1733
4078,83,325,342,48.0,384,356,243,53,1973
4079,72,192,256,62.0,371,250,214,38,1603
4080,68,254,267,57.0,329,275,204,56,1687
4081,71,298,349,73.0,393,328,213,58,1956
4082,68,277,281,34.0,343,294,192,49,1636
4083,69,234,289,43.0,351,298,187,43,1662
4084,67,245,208,59.0,334,273,189,47,1592
4085,68,259,301,71.0,311,324,193,50,1784
4086,72,266,273,58.0,374,291,203,35,1738
4087,72,297,301,58.0,326,305,208,53,1794
4088,60,247,265,57.0,253,244,170,49,1510
4089,80,312,323,62.0,394,345,238,52,1982
4090,65,248,268,48.0,279,247,196,50,1554
4091,63,215,217,58.0,292,248,189,53,1501
4092,73,292,303,60.0,340,312,209,40,1813
4093,76,273,326,79.0,349,324,226,51,1926
4094,59,230,246,55.0,266,239,170,51,1498
4095,58,228,214,66.0,276,251,167,50,1510
4096,56,231,246,64.0,281,255,163,51,1546
4097,65,252,233,50.0,320,271,191,56,1549
4098,71,233,248,62.0,333,287,209,49,1631
4099,76,266,276,62.0,327,298,224,61,1769
4100,72,299,317,69.0,387,338,210,58,1966
4101,59,212,248,72.0,279,247,174,41,1526
4102,72,318,322,47.0,344,361,214,65,1894
4103,64,258,244,70.0,322,266,189,54,1657
4104,73,312,335,67.0,336,361,226,61,1939
4105,59,230,221,60.0,290,234,174,46,1488
4106,58,203,202,52.0,256,220,165,51,1376
4107,71,280,301,73.0,329,309,206,59,1835
4108,71,214,249,44.0,280,272,210,59,1555
4109,64,254,238,64.0,296,267,189,58,1609
4110,67,271,289,52.0,340,297,183,59,1697
4111,66,270,272,63.0,318,287,194,72,1732
4112,71,233,243,60.0,290,258,201,54,1588
4113,63,218,230,52.0,289,250,181,54,1516
4114,67,208,254,69.0,286,246,198,59,1578
4115,54,190,204,65.0,297,223,150,57,1432
4116,68,237,258,54.0,318,276,200,37,1629
4117,63,223,209,44.0,294,241,181,56,1458
4118,73,272,270,37.0,342,320,215,56,1699
4119,77,321,334,68.0,390,349,222,50,2009
4120,61,260,263,53.0,271,251,185,48,1561
4121,65,228,255,61.0,295,260,189,56,1552
4122,67,250,266,58.0,277,279,200,41,1603
4123,69,256,308,65.0,320,281,194,56,1732
4124,74,303,314,63.0,376,334,220,60,1919
4125,58,224,241,74.0,253,235,171,50,1496
4126,68,312,325,59.0,338,335,197,45,1849
4127,57,234,226,62.0,279,253,161,51,1515
4128,72,266,302,65.0,320,312,205,50,1753
4129,71,305,321,62.0,343,330,210,53,1849
4130,60,251,252,50.0,272,262,172,51,1539
4131,77,283,278,76.0,358,348,230,42,1915
4132,76,261,283,48.0,366,331,233,55,1804
4133,60,237,270,49.0,299,257,158,39,1513
4134,77,254,272,59.0,328,307,223,53,1741
4135,73,294,315,62.0,341,334,217,44,1827
4136,71,255,250,41.0,274,266,208,48,1554
4137,77,317,303,47.0,353,336,229,54,1871
4138,72,289,297,66.0,363,282,210,58,1828
4139,72,281,279,65.0,350,303,214,48,1799
4140,63,226,270,71.0,320,263,178,50,1618
4141,71,309,289,71.0,365,311,206,49,1824
4142,68,296,311,69.0,329,298,188,40,1800
4143,82,321,299,47.0,369,350,252,45,1884
4144,77,328,291,67.0,344,335,225,41,1906
4145,66,205,213,52.0,255,244,193,45,1438
4146,51,193,212,60.0,248,213,135,55,1336
4147,65,212,199,65.0,295,239,188,53,1495
4148,59,204,245,58.0,268,259,165,52,1492
4149,76,285,295,65.0,342,325,221,51,1864
4150,55,223,221,54.0,280,241,146,55,1443
4151,64,240,250,58.0,290,265,181,45,1593
4152,70,241,220,65.0,326,245,206,58,1607
4153,68,230,264,71.0,309,279,194,49,1655
4154,69,316,318,66.0,337,309,194,61,1858
4155,63,240,256,70.0,329,276,177,60,1662
4156,73,294,268,61.0,334,282,213,62,1747
4157,68,263,284,57.0,298,275,188,42,1634
4158,74,267,272,57.0,393,290,212,51,1725
4159,65,231,217,55.0,331,270,189,46,1572
4160,61,240,235,67.0,331,267,170,52,1610
4161,61,222,229,52.0,247,230,179,60,1447
4162,66,245,254,69.0,322,281,186,56,1680
4163,58,198,216,49.0,247,233,173,54,1399
4164,62,265,249,57.0,280,264,193,41,1601
4165,63,230,285,78.0,266,254,182,46,1604
4166,74,319,319,69.0,356,359,210,55,1953
4167,71,268,293,53.0,358,314,205,57,1801
4168,66,226,207,62.0,305,283,207,78,1608
4169,77,292,308,65.0,376,325,220,52,1910
4170,67,250,299,64.0,350,292,173,55,1727
4171,69,307,320,72.0,312,301,209,79,1864
4172,59,266,311,86.0,270,241,160,54,1654
4173,80,278,331,70.0,325,337,232,45,1901
4174,76,315,332,66.0,316,342,223,55,1893
4175,64,236,272,53.0,278,284,187,50,1588
4176,73,332,318,53.0,379,352,206,56,1910
4177,74,255,322,66.0,350,300,217,50,1847
4178,67,245,273,66.0,330,270,192,35,1673
4179,69,296,281,68.0,336,283,206,51,1796
4180,63,243,243,34.0,345,266,178,52,1559
4181,74,268,291,48.0,348,314,214,60,1758
4182,84,319,344,68.0,369,349,248,55,2066
4183,59,219,234,50.0,279,241,175,60,1474
4184,66,257,274,57.0,284,276,190,46,1621
4185,72,243,274,61.0,302,301,211,46,1702
4186,75,298,320,34.0,399,346,217,57,1872
4187,68,290,305,64.0,344,292,201,63,1805
4188,75,303,321,69.0,385,329,212,65,1936
4189,75,329,332,76.0,383,347,213,57,2036
4190,69,282,262,49.0,336,285,200,66,1671
4191,70,326,358,41.0,335,338,209,60,1836
4192,70,232,224,31.0,279,273,199,53,1461
4193,68,234,249,65.0,319,271,200,52,1629
4194,72,276,288,68.0,377,324,220,48,1872
4195,77,267,331,56.0,361,322,222,54,1872
4196,69,301,290,70.0,344,307,189,49,1822
4197,79,325,346,73.0,374,339,234,55,2036
4198,69,238,226,59.0,289,252,202,44,1565
4199,66,229,262,58.0,275,262,190,51,1583
4200,67,253,274,65.0,305,253,196,35,1649
4201,68,245,247,57.0,284,260,203,51,1521
4202,58,196,189,55.0,278,205,167,54,1391
4203,59,212,228,58.0,251,243,168,50,1433
4204,64,263,283,57.0,324,304,168,60,1695
4205,68,284,295,76.0,335,313,192,61,1835
4206,70,294,313,69.0,366,328,210,48,1898
4207,63,270,281,80.0,302,298,168,52,1716
4208,73,311,334,79.0,360,337,197,61,1971
4209,60,228,266,64.0,268,257,167,63,1560
4210,73,293,285,64.0,345,308,220,52,1843
4211,72,308,326,74.0,361,332,212,55,1884
4212,76,296,302,55.0,356,336,228,64,1873
4213,80,363,344,59.0,395,376,224,50,2081
4214,66,260,290,75.0,288,293,187,48,1718
4215,74,291,350,61.0,348,373,224,62,1969
4216,85,346,359,68.0,382,362,245,49,2093
4217,71,292,295,71.0,332,308,191,52,1819
4218,75,317,343,66.0,361,346,216,60,1979
4219,63,258,267,73.0,306,311,183,49,1738
4220,74,359,357,68.0,371,353,209,60,2046
4221,71,294,312,90.0,299,300,185,71,1880
4222,73,321,351,64.0,373,335,202,53,1929
4223,68,269,321,66.0,290,288,191,52,1714
4224,66,264,287,72.0,340,305,188,50,1778
4225,59,224,247,58.0,277,272,153,41,1522
4226,60,202,243,54.0,237,253,182,55,1437
4227,68,252,261,63.0,288,286,201,57,1606
4228,75,319,348,74.0,386,344,218,63,2035
4229,71,243,264,61.0,355,308,206,41,1731
4230,74,280,261,72.0,350,317,224,53,1826
4231,65,260,276,77.0,326,297,197,45,1779
4232,67,281,300,67.0,342,314,197,43,1795
4233,69,247,280,75.0,344,315,189,62,1783
4234,74,323,337,81.0,346,355,207,53,2010
4235,76,337,361,69.0,378,342,208,52,2022
4236,80,347,365,77.0,375,393,236,55,2131
4237,76,320,390,60.0,354,379,221,46,2027
4238,67,278,321,64.0,290,341,186,25,1754
4239,64,226,261,80.0,327,262,196,50,1655
4240,76,310,324,63.0,370,346,224,48,1960
4241,71,237,285,78.0,330,291,211,49,1781
4242,63,256,266,54.0,302,251,185,62,1627
4243,83,350,397,79.0,365,398,232,55,2171
4244,79,369,354,63.0,392,365,238,44,2092
4245,73,321,322,73.0,353,338,207,52,1916
4246,66,218,239,73.0,267,264,193,58,1581
4247,66,278,310,73.0,329,320,190,51,1812
4248,65,266,313,66.0,319,314,186,53,1765
4249,64,282,320,62.0,306,292,179,52,1755
4250,76,254,305,34.0,352,317,227,48,1733
4251,65,260,287,67.0,275,270,187,49,1654
4252,78,293,293,54.0,344,335,230,59,1847
4253,68,239,256,56.0,326,283,196,51,1639
4254,71,302,321,65.0,344,308,203,56,1868
